,Company,Symbol,Profile,Summary,TFIDF_Summary,TFIDF_Rouge,T5_Rouge
0,Nvidia Corp,NVDA,"NVIDIA Corporation provides graphics and compute and networking solutions in the United States, Taiwan, China, Hong Kong, and internationally. The Graphics segment offers GeForce GPUs for gaming and PCs, the GeForce NOW game streaming service and related infrastructure, and solutions for gaming platforms; Quadro/NVIDIA RTX GPUs for enterprise workstation graphics; virtual GPU or vGPU software for cloud-based visual and virtual computing; automotive platforms for infotainment systems; and Omniverse software for building and operating metaverse and 3D internet applications. The Compute & Networking segment comprises Data Center computing platforms and end-to-end networking platforms, including Quantum for InfiniBand and Spectrum for Ethernet; NVIDIA DRIVE automated-driving platform and automotive development agreements; Jetson robotics and other embedded platforms; NVIDIA AI Enterprise and other software; and DGX Cloud software and services. The company's products are used in gaming, professional visualization, data center, and automotive markets. It sells its products to original equipment manufacturers, original device manufacturers, system integrators and distributors, independent software vendors, cloud service providers, consumer internet companies, add-in board manufacturers, distributors, automotive manufacturers and tier-1 automotive suppliers, and other ecosystem participants. NVIDIA Corporation was incorporated in 1993 and is headquartered in Santa Clara, California.","NVIDIA Corporation provides graphics and compute and networking solutions in the United States, Taiwan, China, Hong Kong and internationally . The Graphics segment offers GeForce GPUs for gaming and PCs, the GeForce NOW game streaming service and related infrastructure . It sells its products to original equipment manufacturers, original device manufacturers, system integrators and distributors, independent software vendors .","The Graphics segment offers GeForce GPUs for gaming and PCs, the GeForce NOW game streaming service and related infrastructure, and solutions for gaming platforms; Quadro/NVIDIA RTX GPUs for enterprise workstation graphics; virtual GPU or vGPU software for cloud-based visual and virtual computing; automotive platforms for infotainment systems; and Omniverse software for building and operating metaverse and 3D internet applications.","{'rouge1': Score(precision=1.0, recall=0.30808080808080807, fmeasure=0.47104247104247104), 'rouge2': Score(precision=1.0, recall=0.30456852791878175, fmeasure=0.4669260700389105), 'rougeL': Score(precision=1.0, recall=0.30808080808080807, fmeasure=0.47104247104247104)}","{'rouge1': Score(precision=1.0, recall=0.2828282828282828, fmeasure=0.4409448818897638), 'rouge2': Score(precision=0.9818181818181818, recall=0.27411167512690354, fmeasure=0.42857142857142855), 'rougeL': Score(precision=1.0, recall=0.2828282828282828, fmeasure=0.4409448818897638)}"
1,Apple Inc.,AAPL,"Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide. The company offers iPhone, a line of smartphones; Mac, a line of personal computers; iPad, a line of multi-purpose tablets; and wearables, home, and accessories comprising AirPods, Apple TV, Apple Watch, Beats products, and HomePod. It also provides AppleCare support and cloud services; and operates various platforms, including the App Store that allow customers to discover and download applications and digital content, such as books, music, video, games, and podcasts, as well as advertising services include third-party licensing arrangements and its own advertising platforms. In addition, the company offers various subscription-based services, such as Apple Arcade, a game subscription service; Apple Fitness+, a personalized fitness service; Apple Music, which offers users a curated listening experience with on-demand radio stations; Apple News+, a subscription news and magazine service; Apple TV+, which offers exclusive original content; Apple Card, a co-branded credit card; and Apple Pay, a cashless payment service, as well as licenses its intellectual property. The company serves consumers, and small and mid-sized businesses; and the education, enterprise, and government markets. It distributes third-party applications for its products through the App Store. The company also sells its products through its retail and online stores, and direct sales force; and third-party cellular network carriers, wholesalers, retailers, and resellers. Apple Inc. was founded in 1976 and is headquartered in Cupertino, California.","Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide . The company offers iPhone, a line of smartphones; Mac, a line of personal computers; iPad, a line of multi-purpose tablets; and wearables, home, and accessories .","It also provides AppleCare support and cloud services; and operates various platforms, including the App Store that allow customers to discover and download applications and digital content, such as books, music, video, games, and podcasts, as well as advertising services include third-party licensing arrangements and its own advertising platforms.","{'rouge1': Score(precision=1.0, recall=0.20833333333333334, fmeasure=0.3448275862068966), 'rouge2': Score(precision=1.0, recall=0.20502092050209206, fmeasure=0.3402777777777778), 'rougeL': Score(precision=1.0, recall=0.20833333333333334, fmeasure=0.3448275862068966)}","{'rouge1': Score(precision=1.0, recall=0.16666666666666666, fmeasure=0.2857142857142857), 'rouge2': Score(precision=1.0, recall=0.16317991631799164, fmeasure=0.28057553956834536), 'rougeL': Score(precision=1.0, recall=0.16666666666666666, fmeasure=0.2857142857142857)}"
2,Microsoft Corp,MSFT,"Microsoft Corporation develops and supports software, services, devices and solutions worldwide. The Productivity and Business Processes segment offers office, exchange, SharePoint, Microsoft Teams, office 365 Security and Compliance, Microsoft viva, and Microsoft 365 copilot; and office consumer services, such as Microsoft 365 consumer subscriptions, Office licensed on-premises, and other office services. This segment also provides LinkedIn; and dynamics business solutions, including Dynamics 365, a set of intelligent, cloud-based applications across ERP, CRM, power apps, and power automate; and on-premises ERP and CRM applications. The Intelligent Cloud segment offers server products and cloud services, such as azure and other cloud services; SQL and windows server, visual studio, system center, and related client access licenses, as well as nuance and GitHub; and enterprise services including enterprise support services, industry solutions, and nuance professional services. The More Personal Computing segment offers Windows, including windows OEM licensing and other non-volume licensing of the Windows operating system; Windows commercial comprising volume licensing of the Windows operating system, windows cloud services, and other Windows commercial offerings; patent licensing; and windows Internet of Things; and devices, such as surface, HoloLens, and PC accessories. Additionally, this segment provides gaming, which includes Xbox hardware and content, and first- and third-party content; Xbox game pass and other subscriptions, cloud gaming, advertising, third-party disc royalties, and other cloud services; and search and news advertising, which includes Bing, Microsoft News and Edge, and third-party affiliates. The company sells its products through OEMs, distributors, and resellers; and directly through digital marketplaces, online, and retail stores. The company was founded in 1975 and is headquartered in Redmond, Washington.","The More Personal Computing segment offers Windows, including windows OEM licensing and other non-volume licensing of Windows operating system . The Productivity and Business Processes segment offers office, exchange, SharePoint, Microsoft Teams, office 365 Security and Compliance, Microsoft viva, and Microsoft 365 copilot . This segment also provides LinkedIn; and dynamics business solutions, including Dynamics 365 .","The Intelligent Cloud segment offers server products and cloud services, such as azure and other cloud services; SQL and windows server, visual studio, system center, and related client access licenses, as well as nuance and GitHub; and enterprise services including enterprise support services, industry solutions, and nuance professional services.","{'rouge1': Score(precision=1.0, recall=0.18081180811808117, fmeasure=0.30624999999999997), 'rouge2': Score(precision=1.0, recall=0.17777777777777778, fmeasure=0.3018867924528302), 'rougeL': Score(precision=1.0, recall=0.18081180811808117, fmeasure=0.30624999999999997)}","{'rouge1': Score(precision=1.0, recall=0.2029520295202952, fmeasure=0.3374233128834356), 'rouge2': Score(precision=0.9444444444444444, recall=0.18888888888888888, fmeasure=0.3148148148148148), 'rougeL': Score(precision=0.6545454545454545, recall=0.13284132841328414, fmeasure=0.22085889570552147)}"
3,Amazon.com Inc,AMZN,"Amazon.com, Inc. engages in the retail sale of consumer products, advertising, and subscriptions service through online and physical stores in North America and internationally. The company operates through three segments: North America, International, and Amazon Web Services (AWS). It also manufactures and sells electronic devices, including Kindle, Fire tablets, Fire TVs, Echo, Ring, Blink, and eero; and develops and produces media content. In addition, the company offers programs that enable sellers to sell their products in its stores; and programs that allow authors, independent publishers, musicians, filmmakers, Twitch streamers, skill and app developers, and others to publish and sell content. Further, it provides compute, storage, database, analytics, machine learning, and other services, as well as advertising services through programs, such as sponsored ads, display, and video advertising. Additionally, the company offers Amazon Prime, a membership program. The company's products offered through its stores include merchandise and content purchased for resale and products offered by third-party sellers. It serves consumers, sellers, developers, enterprises, content creators, advertisers, and employees. Amazon.com, Inc. was incorporated in 1994 and is headquartered in Seattle, Washington.","Amazon.com, Inc. engages in the retail sale of consumer products, advertising, and subscriptions service through online and physical stores in North America and internationally . It manufactures and sells electronic devices, including Kindle, Fire tablets, Fire TVs, Echo, Ring, Blink, and eero; and develops and produces media content . Additionally, the company offers programs that enable sellers to sell their products in its stores .","In addition, the company offers programs that enable sellers to sell their products in its stores; and programs that allow authors, independent publishers, musicians, filmmakers, Twitch streamers, skill and app developers, and others to publish and sell content. It also manufactures and sells electronic devices, including Kindle, Fire tablets, Fire TVs, Echo, Ring, Blink, and eero; and develops and produces media content.","{'rouge1': Score(precision=1.0, recall=0.33879781420765026, fmeasure=0.5061224489795918), 'rouge2': Score(precision=0.9836065573770492, recall=0.32967032967032966, fmeasure=0.4938271604938272), 'rougeL': Score(precision=0.7258064516129032, recall=0.2459016393442623, fmeasure=0.36734693877551017)}","{'rouge1': Score(precision=1.0, recall=0.3442622950819672, fmeasure=0.5121951219512195), 'rouge2': Score(precision=0.9516129032258065, recall=0.3241758241758242, fmeasure=0.4836065573770492), 'rougeL': Score(precision=1.0, recall=0.3442622950819672, fmeasure=0.5121951219512195)}"
4,"Meta Platforms, Inc. Class A",META,"Meta Platforms, Inc. engages in the development of products that enable people to connect and share with friends and family through mobile devices, personal computers, virtual reality headsets, and wearables worldwide. It operates in two segments, Family of Apps and Reality Labs. The Family of Apps segment offers Facebook, which enables people to share, discuss, discover, and connect with interests; Instagram, a community for sharing photos, videos, and private messages, as well as feed, stories, reels, video, live, and shops; Messenger, a messaging application for people to connect with friends, family, communities, and businesses across platforms and devices through text, audio, and video calls; and WhatsApp, a messaging application that is used by people and businesses to communicate and transact privately. The Reality Labs segment provides augmented and virtual reality related products comprising consumer hardware, software, and content that help people feel connected, anytime, and anywhere. The company was formerly known as Facebook, Inc. and changed its name to Meta Platforms, Inc. in October 2021. The company was incorporated in 2004 and is headquartered in Menlo Park, California","Meta Platforms, Inc. operates in two segments, Family of Apps and Reality Labs . The Family of Apps segment offers Facebook, which enables people to share, discuss, discover, and connect with interests . The company was formerly known as Facebook and changed its name to Meta Platforms, Inc. in October 2021 .",,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0, recall=0, fmeasure=0)}","{'rouge1': Score(precision=1.0, recall=0.2752808988764045, fmeasure=0.43171806167400884), 'rouge2': Score(precision=0.9375, recall=0.2542372881355932, fmeasure=0.39999999999999997), 'rougeL': Score(precision=1.0, recall=0.2752808988764045, fmeasure=0.43171806167400884)}"
5,Alphabet Inc. Class A,GOOGL,"Alphabet Inc. offers various products and platforms in the United States, Europe, the Middle East, Africa, the Asia-Pacific, Canada, and Latin America. It operates through Google Services, Google Cloud, and Other Bets segments. The Google Services segment provides products and services, including ads, Android, Chrome, devices, Gmail, Google Drive, Google Maps, Google Photos, Google Play, Search, and YouTube. It is also involved in the sale of apps and in-app purchases and digital content in the Google Play and YouTube; and devices, as well as in the provision of YouTube consumer subscription services. The Google Cloud segment offers infrastructure, cybersecurity, databases, analytics, AI, and other services; Google Workspace that include cloud-based communication and collaboration tools for enterprises, such as Gmail, Docs, Drive, Calendar, and Meet; and other services for enterprise customers. The Other Bets segment sells healthcare-related and internet services. The company was incorporated in 1998 and is headquartered in Mountain View, California.","Alphabet Inc. operates through Google Services, Google Cloud, and Other Bets segments . The Google Services segment provides products and services including ads, Android, Chrome, devices, Gmail, Google Drive, Google Maps, Google Photos, Google Play, Search, and YouTube . It is also involved in the sale of apps and in-app purchases and digital content in Google Play and YouTube .","The Google Cloud segment offers infrastructure, cybersecurity, databases, analytics, AI, and other services; Google Workspace that include cloud-based communication and collaboration tools for enterprises, such as Gmail, Docs, Drive, Calendar, and Meet; and other services for enterprise customers. Alphabet Inc. offers various products and platforms in the United States, Europe, the Middle East, Africa, the Asia-Pacific, Canada, and Latin America.","{'rouge1': Score(precision=1.0, recall=0.3974358974358974, fmeasure=0.5688073394495413), 'rouge2': Score(precision=0.9836065573770492, recall=0.3870967741935484, fmeasure=0.5555555555555556), 'rougeL': Score(precision=0.6774193548387096, recall=0.2692307692307692, fmeasure=0.38532110091743116)}","{'rouge1': Score(precision=1.0, recall=0.3717948717948718, fmeasure=0.5420560747663552), 'rouge2': Score(precision=0.9649122807017544, recall=0.3548387096774194, fmeasure=0.5188679245283019), 'rougeL': Score(precision=1.0, recall=0.3717948717948718, fmeasure=0.5420560747663552)}"
6,Alphabet Inc. Class C,GOOG,"Alphabet Inc. offers various products and platforms in the United States, Europe, the Middle East, Africa, the Asia-Pacific, Canada, and Latin America. It operates through Google Services, Google Cloud, and Other Bets segments. The Google Services segment provides products and services, including ads, Android, Chrome, devices, Gmail, Google Drive, Google Maps, Google Photos, Google Play, Search, and YouTube. It is also involved in the sale of apps and in-app purchases and digital content in the Google Play and YouTube; and devices, as well as in the provision of YouTube consumer subscription services. The Google Cloud segment offers infrastructure, cybersecurity, databases, analytics, AI, and other services; Google Workspace that include cloud-based communication and collaboration tools for enterprises, such as Gmail, Docs, Drive, Calendar, and Meet; and other services for enterprise customers. The Other Bets segment sells healthcare-related and internet services. The company was incorporated in 1998 and is headquartered in Mountain View, California.","Alphabet Inc. operates through Google Services, Google Cloud, and Other Bets segments . The Google Services segment provides products and services including ads, Android, Chrome, devices, Gmail, Google Drive, Google Maps, Google Photos, Google Play, Search, and YouTube . It is also involved in the sale of apps and in-app purchases and digital content in Google Play and YouTube .","The Google Cloud segment offers infrastructure, cybersecurity, databases, analytics, AI, and other services; Google Workspace that include cloud-based communication and collaboration tools for enterprises, such as Gmail, Docs, Drive, Calendar, and Meet; and other services for enterprise customers. Alphabet Inc. offers various products and platforms in the United States, Europe, the Middle East, Africa, the Asia-Pacific, Canada, and Latin America.","{'rouge1': Score(precision=1.0, recall=0.3974358974358974, fmeasure=0.5688073394495413), 'rouge2': Score(precision=0.9836065573770492, recall=0.3870967741935484, fmeasure=0.5555555555555556), 'rougeL': Score(precision=0.6774193548387096, recall=0.2692307692307692, fmeasure=0.38532110091743116)}","{'rouge1': Score(precision=1.0, recall=0.3717948717948718, fmeasure=0.5420560747663552), 'rouge2': Score(precision=0.9649122807017544, recall=0.3548387096774194, fmeasure=0.5188679245283019), 'rougeL': Score(precision=1.0, recall=0.3717948717948718, fmeasure=0.5420560747663552)}"
7,Broadcom Inc.,AVGO,"Broadcom Inc. designs, develops, and supplies various semiconductor devices with a focus on complex digital and mixed signal complementary metal oxide semiconductor based devices and analog III-V based products worldwide. The company operates in two segments, Semiconductor Solutions and Infrastructure Software. It provides set-top box system-on-chips (SoCs); cable, digital subscriber line, and passive optical networking central office/consumer premise equipment SoCs; wireless local area network access point SoCs; Ethernet switching and routing custom silicon solutions; serializer/deserializer application specific integrated circuits; optical and copper, and physical layer devices; and fiber optic components and RF semiconductor devices. The company also offers RF front end modules and filter; Wi-Fi, Bluetooth, and global positioning system/global navigation satellite system SoCs; custom touch controllers; inductive charging; attached small computer system interface, and redundant array of independent disks controllers and adapters; peripheral component interconnect express; fiber channel host bus adapters; read channel based SoCs; custom flash controllers; preamplifiers; optocouplers, industrial fiber optics, and motion control encoders and subsystems; light emitting diode, ethernet PHYs, switch ICs, and camera microcontrollers. Its products are used in various applications, including enterprise and data center networking, home connectivity, set-top boxes, broadband access, telecommunication equipment, smartphones and base stations, data center servers and storage systems, factory automation, power generation and alternative energy systems, and electronic displays. Broadcom Inc. was founded in 1961 and is headquartered in Palo Alto, California.","Broadcom Inc. was founded in 1961 and is headquartered in Palo Alto, California . Its products are used in various applications, including enterprise and data center networking, home connectivity . Broadcom Inc. offers set-top boxes, broadband access, telecommunication equipment, smartphones and base stations .","The company also offers RF front end modules and filter; Wi-Fi, Bluetooth, and global positioning system/global navigation satellite system SoCs; custom touch controllers; inductive charging; attached small computer system interface, and redundant array of independent disks controllers and adapters; peripheral component interconnect express; fiber channel host bus adapters; read channel based SoCs; custom flash controllers; preamplifiers; optocouplers, industrial fiber optics, and motion control encoders and subsystems; light emitting diode, ethernet PHYs, switch ICs, and camera microcontrollers.","{'rouge1': Score(precision=1.0, recall=0.3333333333333333, fmeasure=0.5), 'rouge2': Score(precision=1.0, recall=0.33047210300429186, fmeasure=0.4967741935483871), 'rougeL': Score(precision=1.0, recall=0.3333333333333333, fmeasure=0.5)}","{'rouge1': Score(precision=1.0, recall=0.1794871794871795, fmeasure=0.30434782608695654), 'rouge2': Score(precision=0.9024390243902439, recall=0.15879828326180256, fmeasure=0.27007299270072993), 'rougeL': Score(precision=0.7142857142857143, recall=0.1282051282051282, fmeasure=0.21739130434782608)}"
8,"Tesla, Inc.",TSLA,"Tesla, Inc. designs, develops, manufactures, leases, and sells electric vehicles, and energy generation and storage systems in the United States, China, and internationally. The company operates in two segments, Automotive, and Energy Generation and Storage. The Automotive segment offers electric vehicles, as well as sells automotive regulatory credits; and non-warranty after-sales vehicle, used vehicles, body shop and parts, supercharging, retail merchandise, and vehicle insurance services. This segment also provides sedans and sport utility vehicles through direct and used vehicle sales, a network of Tesla Superchargers, and in-app upgrades; purchase financing and leasing services; services for electric vehicles through its company-owned service locations and Tesla mobile service technicians; and vehicle limited warranties and extended service plans. The Energy Generation and Storage segment engages in the design, manufacture, installation, sale, and leasing of solar energy generation and energy storage products, and related services to residential, commercial, and industrial customers and utilities through its website, stores, and galleries, as well as through a network of channel partners; and provision of service and repairs to its energy product customers, including under warranty, as well as various financing options to its solar customers. The company was formerly known as Tesla Motors, Inc. and changed its name to Tesla, Inc. in February 2017. Tesla, Inc. was incorporated in 2003 and is headquartered in Austin, Texas.","Tesla, Inc. designs, develops, manufactures, leases, and sells electric vehicles, and energy generation and storage systems . The Automotive segment offers electric vehicles, as well as sells automotive regulatory credits; and non-warranty after-sales vehicle, used vehicles, body shop and parts, supercharging . Tesla, Inc. was incorporated in 2003 and is headquartered in Austin, Texas .","The Energy Generation and Storage segment engages in the design, manufacture, installation, sale, and leasing of solar energy generation and energy storage products, and related services to residential, commercial, and industrial customers and utilities through its website, stores, and galleries, as well as through a network of channel partners; and provision of service and repairs to its energy product customers, including under warranty, as well as various financing options to its solar customers.","{'rouge1': Score(precision=1.0, recall=0.3273542600896861, fmeasure=0.4932432432432432), 'rouge2': Score(precision=1.0, recall=0.32432432432432434, fmeasure=0.489795918367347), 'rougeL': Score(precision=1.0, recall=0.3273542600896861, fmeasure=0.4932432432432432)}","{'rouge1': Score(precision=1.0, recall=0.242152466367713, fmeasure=0.3898916967509025), 'rouge2': Score(precision=0.9622641509433962, recall=0.22972972972972974, fmeasure=0.3709090909090909), 'rougeL': Score(precision=1.0, recall=0.242152466367713, fmeasure=0.3898916967509025)}"
9,Jpmorgan Chase & Co.,JPM,"JPMorgan Chase & Co. operates as a financial services company worldwide. It operates through four segments: Consumer & Community Banking (CCB), Corporate & Investment Bank (CIB), Commercial Banking (CB), and Asset & Wealth Management (AWM). The CCB segment offers deposit, investment and lending products, cash management, and payments and services; mortgage origination and servicing activities; residential mortgages and home equity loans; and credit cards, auto loans, leases, and travel services to consumers and small businesses through bank branches, ATMs, and digital and telephone banking. The CIB segment provides investment banking products and services, including corporate strategy and structure advisory, and equity and debt market capital-raising services, as well as loan origination and syndication; payments; and cash and derivative instruments, risk management solutions, prime brokerage, and research. This segment also offers securities services, including custody, fund accounting and administration, and securities lending products for asset managers, insurance companies, and public and private investment funds. The CB segment provides financial solutions, including lending, payments, investment banking, and asset management to small and midsized companies, local governments, nonprofit clients, and large corporations, as well as investors, developers, and owners of multifamily, office, retail, industrial, and affordable housing properties. The AWM segment offers multi-asset investment management solutions in equities, fixed income, alternatives, and money market funds to institutional clients and retail investors; and retirement products and services, brokerage, custody, estate planning, lending, deposits, and investment management products to high net worth clients. JPMorgan Chase & Co. was founded in 1799 and is headquartered in New York, New York.","JPMorgan Chase & Co. operates as financial services company worldwide . It operates through four segments: Consumer & Community Banking (CCB), Corporate & Investment Bank (CIB), Commercial Banking (CB) and Asset & Wealth Management (AWM). The CCB segment offers deposit, investment and lending products, cash management, and payments and services .","The CCB segment offers deposit, investment and lending products, cash management, and payments and services; mortgage origination and servicing activities; residential mortgages and home equity loans; and credit cards, auto loans, leases, and travel services to consumers and small businesses through bank branches, ATMs, and digital and telephone banking.","{'rouge1': Score(precision=1.0, recall=0.1952191235059761, fmeasure=0.32666666666666666), 'rouge2': Score(precision=1.0, recall=0.192, fmeasure=0.32214765100671144), 'rougeL': Score(precision=1.0, recall=0.1952191235059761, fmeasure=0.32666666666666666)}","{'rouge1': Score(precision=1.0, recall=0.17928286852589642, fmeasure=0.30405405405405406), 'rouge2': Score(precision=0.9772727272727273, recall=0.172, fmeasure=0.2925170068027211), 'rougeL': Score(precision=1.0, recall=0.17928286852589642, fmeasure=0.30405405405405406)}"
